VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Traffic Control Disregarded
TAXI,MANHATTAN,TAXI,Other Vehicular
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Alcohol Involvement
SPORT UTILITY / STATION WAGON,BROOKLYN,UNKNOWN,Unspecified
BICYCLE,QUEENS,UNKNOWN,Unspecified
OTHER,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,SMALL COM VEH(4 TIRES),Fatigued/Drowsy
VAN,QUEENS,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Alcohol Involvement
UNKNOWN,BROOKLYN,OTHER,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Other Vehicular
PASSENGER VEHICLE,BROOKLYN,LIVERY VEHICLE,Fatigued/Drowsy
MOTORCYCLE,BROOKLYN,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,TAXI,Physical Disability
PASSENGER VEHICLE,BRONX,VAN,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Unsafe Speed
TAXI,BROOKLYN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
LIVERY VEHICLE,BRONX,VAN,Driver Inattention/Distraction
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Reaction to Other Uninvolved Vehicle
OTHER,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
OTHER,BRONX,PASSENGER VEHICLE,Driver Inattention/Distraction
VAN,MANHATTAN,TAXI,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Traffic Control Disregarded
PASSENGER VEHICLE,QUEENS,BUS,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,STATEN ISLAND,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Fell Asleep
SMALL COM VEH(4 TIRES),QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
OTHER,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Other Vehicular
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Traffic Control Disregarded
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Pavement Slippery
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Fatigued/Drowsy
VAN,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BRONX,TAXI,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Outside Car Distraction
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Physical Disability
